info_type,short_code,std_code,name
5,|201W1224,5|KR4201WC24,53|C 202512 245.0|2|00245.00| |2001|KOSP
5,|201W1224,7|KR4201WC24,79|C 202512 247.5|2|00247.50| |2001|KOSP
5,|201W1225,0|KR4201WC25,03|C 202512 250.0|2|00250.00| |2001|KOSP
5,|201W1225,2|KR4201WC25,29|C 202512 252.5|2|00252.50| |2001|KOSP
5,|201W1225,5|KR4201WC25,52|C 202512 255.0|2|00255.00| |2001|KOSP
5,|201W1225,7|KR4201WC25,78|C 202512 257.5|2|00257.50| |2001|KOSP
5,|201W1226,0|KR4201WC26,02|C 202512 260.0|2|00260.00| |2001|KOSP
5,|201W1226,2|KR4201WC26,28|C 202512 262.5|2|00262.50| |2001|KOSP
5,|201W1226,5|KR4201WC26,51|C 202512 265.0|2|00265.00| |2001|KOSP
5,|201W1226,7|KR4201WC26,77|C 202512 267.5|2|00267.50| |2001|KOSP
5,|201W1227,0|KR4201WC27,01|C 202512 270.0|2|00270.00| |2001|KOSP
5,|201W1227,2|KR4201WC27,27|C 202512 272.5|2|00272.50| |2001|KOSP
5,|201W1227,5|KR4201WC27,50|C 202512 275.0|2|00275.00| |2001|KOSP
5,|201W1227,7|KR4201WC27,76|C 202512 277.5|2|00277.50| |2001|KOSP
5,|201W1228,0|KR4201WC28,00|C 202512 280.0|2|00280.00| |2001|KOSP
5,|201W1228,2|KR4201WC28,26|C 202512 282.5|2|00282.50| |2001|KOSP
