short_code,std_code,name
57LA58,KRA5731CHF57,한국LA58KOSPI200콜
57LA59,KRA5731CJF55,한국LA59KOSPI200콜
57LA60,KRA5731CKF52,한국LA60KOSPI200콜
57LA61,KRA5731CLF51,한국LA61KOSPI200콜
57LA62,KRA5731CMF50,한국LA62KOSPI200콜
57LA63,KRA5731CNF59,한국LA63KOSPI200콜
57LA64,KRA5732CPF56,한국LA64KOSPI200풋
57LA65,KRA5732CQF55,한국LA65KOSPI200풋
57LA66,KRA5732CRF54,한국LA66KOSPI200풋
57LA67,KRA5732CSF53,한국LA67KOSPI200풋
57LA68,KRA5732CTF52,한국LA68KOSPI200풋
57LA73,KRA571105F67,한국LA73KB금융콜
57LA91,KRA571123F65,한국LA91POSCO홀콜
57LA95,KRA571127F61,한국LA95POSCO홀콜
57LAAA,KRA5712D4FB3,한국LAAAHMM풋
57LAAB,KRA5712D5FB0,한국LAABHMM풋
57LAAC,KRA5712D6FB8,한국LAACKB금융풋
57LAAD,KRA5712D7FB6,한국LAAD케이티지풋
57LAAE,KRA5712D8FB4,한국LAAE케이티지풋
57LAAF,KRA5712D9FB2,한국LAAFLG에너지풋
57LAAG,KRA5712DAFB2,한국LAAGLG에너지풋
57LAAH,KRA5712DBFB0,한국LAAH엘지전자풋
57LAAJ,KRA5712DCFB8,한국LAAJ엘지전자풋
57LAAK,KRA5712DDFB6,한국LAAK엘지전자풋
57LAAL,KRA5712DEFB4,한국LAALLG화학풋
57LAAM,KRA5712DFFB1,한국LAAMLG화학풋
57LAAN,KRA5712DGFB9,한국LAANLS일렉풋
57LAAP,KRA5712DHFB7,한국LAAPLS일렉풋
57LAAQ,KRA5712DJFB3,한국LAAQLS일렉풋
57LAAR,KRA5712DKFB1,한국LAARSK하이닉풋
57LAAS,KRA5712DLFB9,한국LAASSK하이닉풋
57LAAT,KRA5712DMFB7,한국LAATSK하이닉풋
57LAAV,KRA5712DNFB5,한국LAAVSK하이닉풋
57LAAW,KRA5712DPFB0,한국LAAWSK하이닉풋
57LAAX,KRA5712DQFB8,한국LAAXSK하이닉풋
57LAAY,KRA5712DRFB6,한국LAAYSK하이닉풋
57LAAZ,KRA5712DSFB4,한국LAAZ기아풋
57LABA,KRA5712DTFB2,한국LABA두산에너풋
57LABB,KRA5712DVFB8,한국LABB두산에너풋
